Milky Chance	indie	indie rock	reggae	singer-songwriter	blues	german	germany	pop	indietronica	alternative	
Aerosmith	rock	classic rock	hard rock	80s	70s	aerosmith	american	blues rock	alternative	90s	
Passenger	Melodic Death Metal	folk	alternative metal	metal	Nu Metal	british	indie	melodic metal	acoustic	swedish	
Marilyn Manson	industrial	industrial metal	metal	rock	alternative	alternative rock	hard rock	industrial rock	alternative metal	Shock Rock	
30 Seconds to Mars	alternative rock	rock	alternative	emo	indie	30 seconds to mars	Progressive rock	american	metal	post-grunge	
Rise Against	punk rock	punk	melodic hardcore	hardcore	rock	hardcore punk	alternative	alternative rock	political	Rise Against	
Placebo	alternative rock	alternative	rock	indie	britpop	british	indie rock	Placebo	glam rock	90s	
Korn	Nu Metal	metal	rock	alternative	Nu-metal	alternative metal	hard rock	Korn	alternative rock	american	
Pitbull	Hip-Hop	rap	Reggaeton	hip hop	Crunk	dance	Pitbull	pop	latin	male vocalists	
Echosmith	indie	indie pop	pop	alternative	american	rock	United States	indie rock	siblings	Pop-Rock	
Death Cab for Cutie	indie	indie rock	alternative	rock	emo	indie pop	alternative rock	death cab for cutie	american	pop	
Yeah Yeah Yeahs	indie	indie rock	female vocalists	alternative	rock	alternative rock	punk	Garage Rock	american	post-punk	
Nine Inch Nails	industrial	industrial rock	rock	alternative	electronic	alternative rock	metal	industrial metal	experimental	american	
Macklemore & Ryan Lewis	Hip-Hop	rap	underground hip-hop	underground rap	seattle	hip hop	american	USA	pop	indie	
Jason Derülo	rnb	pop	male vocalists	Jason Derulo	urban	r&b	Hip-Hop	american	dance	soul	
Hans Zimmer	Soundtrack	instrumental	Classical	composer	Soundtracks	german	score	Hans Zimmer	composers	orchestral	
Sigur Rós	post-rock	ambient	icelandic	alternative	indie	experimental	post rock	electronic	shoegaze	chillout	
The 1975	indie	indie rock	alternative	british	Manchester	alternative rock	rock	indie pop	ex T H E S L O W D O W N	electropop	
Joy Division	post-punk	new wave	80s	alternative	indie	rock	british	punk	Gothic	Post punk	
My Chemical Romance	rock	emo	alternative	punk rock	punk	alternative rock	screamo	my chemical romance	pop punk	post-hardcore	
The Neighbourhood	indie	indie rock	indie pop	rock	10s	alternative	american	pop	male vocalists	alternative rock	
Jimi Hendrix	classic rock	rock	blues	psychedelic	guitar	Psychedelic Rock	60s	blues rock	hard rock	jimi hendrix	
Rage Against the Machine	rock	alternative rock	alternative	political	metal	rapcore	hard rock	alternative metal	crossover	rap metal	
Skrillex	dubstep	electronic	breakcore	electro	electronica	Brostep	electro house	House	dance	Skrillex	
Bruce Springsteen	rock	classic rock	singer-songwriter	80s	folk	american	americana	Bruce Springsteen	folk rock	male vocalists	
Jason Mraz	singer-songwriter	acoustic	pop	alternative	rock	indie	Acoustic Rock	jason mraz	male vocalists	american	
Nico & Vinz	pop	norwegian	Hip-Hop	rnb	Norway	hip hop	2014	r&b	male vocalists	afrobeat	
Crystal Castles	electronic	8-bit	new rave	electro	electronica	experimental	Canadian	female vocalists	noise	chiptune	
Modest Mouse	indie	indie rock	alternative	rock	alternative rock	indie pop	american	Modest Mouse	emo	Lo-Fi	
Tame Impala	Psychedelic Rock	psychedelic	indie rock	australian	rock	indie	Neo-Psychedelia	alternative	space rock	experimental	
Tom Odell	indie	british	folk	singer-songwriter	piano	male vocalist	indie pop	english	pop	indie folk	
Simon & Garfunkel	folk	classic rock	singer-songwriter	acoustic	rock	60s	folk rock	oldies	pop	american	
Grimes	electronic	dream pop	experimental	psychedelic	Canadian	synthpop	female vocalists	ethereal	witch house	indie	
Kiesza	pop	female vocalists	House	Canadian	electronic	virally female	dance	under 2000 listeners	kgrl	canada	
London Grammar	indie pop	electronic	indie	female vocalists	british	pop	london	alternative	trip-hop	dream pop	
Creedence Clearwater Revival	classic rock	rock	Southern Rock	60s	folk	blues	Rock and Roll	oldies	blues rock	american	
Miley Cyrus	pop	female vocalists	dance	Disney	guilty pleasure	Miley Cyrus	pop rock	urban	better than selena gomez	better than demi lovato	
Childish Gambino	Hip-Hop	rap	indie	underground hip-hop	hip hop	alternative hip-hop	american	donald glover	alternative	childish gambino	
deadmau5	House	electronic	Progressive House	electro	minimal	electro house	trance	Canadian	dance	electronica	
TV on the Radio	indie	indie rock	experimental	alternative	rock	electronic	post-rock	art rock	alternative rock	american	
The Who	classic rock	rock	british	60s	hard rock	mod	70s	the who	british invasion	alternative	
OutKast	Hip-Hop	rap	hip hop	funk	soul	Dirty South	pop	alternative	outkast	southern rap	
Daughter	indie	acoustic	indie folk	female vocalists	british	folk	alternative	dream pop	indie pop	singer-songwriter	
Neil Young	classic rock	singer-songwriter	rock	folk	folk rock	Canadian	country	Alt-country	Neil Young	70s	
James Blake	dubstep	electronic	experimental	downtempo	soul	post-dubstep	british	future garage	electronica	ambient	
Amy Winehouse	soul	jazz	female vocalists	british	singer-songwriter	pop	funk	Amy Winehouse	Neo-Soul	blues	
AC/DC	hard rock	classic rock	rock	heavy metal	metal	australian	80s	70s	AC/DC	Rock and Roll	
Gwen Stefani	pop	female vocalists	dance	rock	alternative	gwen stefani	Hip-Hop	rnb	female	american	
Lilly Wood & The Prick	french	indie pop	indie	female vocalists	folk	pop	jazz	france	female vocalist	res	
Mr. Probz	Hip-Hop	dutch	nederhop	rap	netherlands	the netherlands	hip hop	All	soul	r&b	
Foals	indie	math rock	indie rock	british	electronic	alternative	experimental	rock	dance punk	dance-punk	
The Shins	indie	indie rock	indie pop	alternative	rock	pop	the shins	american	alternative rock	favorites	
Bon Jovi	rock	hard rock	classic rock	80s	hair metal	bon jovi	american	90s	pop	pop rock	
George Ezra	singer-songwriter	british	indie	folk	indie folk	acoustic	soul	Voice	share	UK	
The Clash	punk	punk rock	british	rock	classic rock	80s	alternative	70s	reggae	indie	
Birdy	folk	indie	female vocalists	british	singer-songwriter	indie pop	pop	piano	indie folk	alternative	
Lily Allen	pop	female vocalists	british	britpop	singer-songwriter	indie	ska	indie pop	Lily Allen	alternative	
Passion Pit	electronic	indie	indie pop	pop	falsetto	american	electropop	synthpop	indietronica	electronica	
Jessie Ware	soul	pop	electronic	female vocalists	chillout	british	quiet storm	rnb	nu soul	UK	
Capital Cities	electronic	indie	electropop	pop	rock	indie pop	synthpop	american	electronica	indietronica	
The Prodigy	electronic	techno	industrial	dance	electronica	big beat	breakbeat	Rave	alternative	british	
HAIM	indie	indie pop	female vocalists	indie rock	soul	pop	american	soft rock	rock	alternative	
Elton John	pop	classic rock	singer-songwriter	rock	piano	british	80s	70s	elton john	male vocalists	
Jack Johnson	acoustic	singer-songwriter	chill	alternative	rock	folk	indie	Acoustic Rock	jack johnson	chillout	
Tiësto	trance	electronic	dance	techno	electronica	progressive trance	House	Tiesto	Dj Tiesto	vocal trance	
Bombay Bicycle Club	indie	british	indie rock	alternative	indie pop	rock	britpop	folk	london	alternative rock	
Snow Patrol	indie	alternative	rock	indie rock	britpop	alternative rock	british	Snow Patrol	pop	Scottish	
P!nk	pop	pop rock	female vocalists	rock	female	pink	american	P!nk	dance	rnb	
Flying Lotus	electronic	experimental	Hip-Hop	instrumental hip-hop	downtempo	idm	instrumental	trip-hop	abstract hip-hop	electronica	
Panic! at the Disco	rock	alternative	emo	indie	pop punk	alternative rock	indie rock	punk	dance	pop rock	
Avril Lavigne	pop	pop rock	rock	female vocalists	Canadian	punk	pop punk	avril lavigne	alternative	female	
Run the Jewels	Hip-Hop	rap	underground hip-hop	hip hop	underground rap	hardcore hip-hop	experimental hip-hop	alternative hip-hop	hardcore hip hop	american	
Limp Bizkit	Nu Metal	rapcore	rock	alternative	metal	Nu-metal	alternative rock	hard rock	limp bizkit	alternative metal	
FKA twigs	trip-hop	electronic	dream pop	experimental	art pop	trip hop	british	female vocalists	alternative rnb	rnb	
Three Days Grace	alternative rock	rock	alternative	hard rock	metal	post-grunge	alternative metal	Canadian	three days grace	emo	
Shakira	pop	latin	female vocalists	spanish	rock	Shakira	dance	singer-songwriter	sexy	Colombia	
Elvis Presley	rock n roll	classic rock	rock	oldies	Rock and Roll	rockabilly	60s	50s	country	pop	
SBTRKT	electronic	dubstep	future garage	UK Garage	funky	british	post-dubstep	uk funky	downtempo	electronica	
Rammstein	industrial metal	metal	industrial	german	rock	hard rock	heavy metal	Rammstein	neue deutsche härte	industrial rock	
The Lumineers	folk	indie	folk rock	american	rock	indie folk	alternative	americana	USA	The Lumineers	
Bring Me the Horizon	deathcore	metalcore	hardcore	screamo	metal	post-hardcore	british	death metal	bring me the horizon	emo	
The Beach Boys	classic rock	60s	pop	Surf	rock	surf rock	oldies	psychedelic	american	baroque pop	
Papa Roach	rock	Nu Metal	alternative rock	alternative	metal	hard rock	rapcore	Nu-metal	alternative metal	punk	
Walk the Moon	indie rock	indie	indie pop	american	alternative	rock	male vocalists	you need to hear this	pop	ohio pride	
Dire Straits	classic rock	rock	80s	blues	guitar	british	dire straits	blues rock	pop	70s	
Björk	electronic	alternative	experimental	female vocalists	icelandic	trip-hop	electronica	indie	singer-songwriter	pop	
M.I.A.	Hip-Hop	electronic	female vocalists	dance	indie	Grime	hip hop	electronica	british	alternative	
Fleet Foxes	folk	indie	folk rock	indie rock	Lo-Fi	indie folk	american	americana	alternative	seattle	
Belle and Sebastian	indie	indie pop	alternative	indie rock	twee	Scottish	pop	rock	folk	british	
Regina Spektor	female vocalists	indie	singer-songwriter	piano	alternative	anti-folk	folk	indie pop	russian	pop	
Stevie Wonder	soul	funk	motown	pop	rnb	rhythm and blues	70s	singer-songwriter	rock	oldies	
Sufjan Stevens	indie	folk	singer-songwriter	alternative	indie rock	indie pop	indie folk	acoustic	rock	american	
Iron & Wine	folk	indie	singer-songwriter	acoustic	indie rock	alternative	indie folk	Mellow	Alt-country	indie pop	
Incubus	rock	alternative rock	alternative	indie	incubus	metal	funk	american	hard rock	funk metal	
Band of Horses	indie	indie rock	alternative	Alt-country	rock	folk	american	alternative rock	indie pop	seattle	
Christina Aguilera	pop	female vocalists	soul	rnb	dance	Christina Aguilera	american	female	legend	diva	
Cage the Elephant	indie rock	alternative	rock	indie	punk rock	alternative rock	Garage Rock	american	punk	blues rock	
Portishead	trip-hop	electronic	female vocalists	chillout	trip hop	alternative	electronica	downtempo	british	indie	
Evanescence	rock	Gothic Rock	female vocalists	Gothic	alternative	alternative rock	Gothic Metal	metal	Evanescence	Female fronted metal	
Sheppard	australian	Uplifting	folk	australia	indie	acoustic	indie pop	english	Classical	male vocalist	
Frank Sinatra	jazz	swing	oldies	vocal jazz	easy listening	male vocalists	american	frank sinatra	Big Band	pop	
Alice in Chains	Grunge	rock	alternative rock	hard rock	alternative	90s	metal	heavy metal	seattle	alternative metal	
Eric Clapton	classic rock	blues	rock	blues rock	guitar	singer-songwriter	british	eric clapton	guitar virtuoso	70s	
Angus & Julia Stone	folk	indie	acoustic	australian	singer-songwriter	indie folk	female vocalists	alternative	indie pop	dream pop	
Marvin Gaye	soul	motown	funk	rhythm and blues	rnb	oldies	70s	marvin gaye	pop	60s	
Chet Faker	downtempo	Lo-Fi	post-dubstep	smooth	shoegaze hip-hop	electronic	australian	soul	indie	chillout	
The Velvet Underground	rock	classic rock	psychedelic	proto-punk	alternative	60s	Psychedelic Rock	experimental	indie	art rock	
Bloc Party	indie	indie rock	alternative	british	rock	alternative rock	britpop	post-punk	indie pop	electronic	
Air	electronic	chillout	ambient	french	electronica	trip-hop	downtempo	alternative	indie	lounge	
AWOLNATION	electronic	indie	alternative	indie rock	rock	electronic rock	american	alternative rock	USA	Hip-Hop	
Avenged Sevenfold	metalcore	metal	hard rock	hardcore	rock	heavy metal	alternative metal	screamo	AVENGED SEVENFOLD	emo	
A$AP Rocky	Hip-Hop	rap	underground hip-hop	swag	new york	cloud rap	hip hop	american	harlem	Trill	
Chris Brown	rnb	Hip-Hop	Chris Brown	rap	hip hop	pop	r&b	male vocalists	dance	american	
Disturbed	metal	Nu Metal	hard rock	rock	alternative	alternative metal	heavy metal	Nu-metal	alternative rock	Disturbed	
Beastie Boys	Hip-Hop	rap	alternative	hip hop	rock	punk	old school	new york	90s	80s	
Deftones	Nu Metal	metal	alternative	alternative rock	rock	alternative metal	hard rock	Nu-metal	experimental	Deftones	
New Order	new wave	electronic	post-punk	80s	alternative	british	rock	indie	synthpop	electronica	
The Police	rock	classic rock	80s	new wave	pop	british	reggae	alternative	The Police	post-punk	
Spoon	indie	indie rock	alternative	rock	indie pop	alternative rock	american	austin	spoon	texas	
Frank Ocean	rnb	soul	Hip-Hop	r&b	ofwgkta	Neo-Soul	alternative rnb	hip hop	american	swag	
Train	rock	alternative rock	alternative	pop	indie	pop rock	train	american	male vocalists	90s	
Bob Marley & The Wailers	reggae	roots reggae	ska	roots	classic rock	jamaican	Bob Marley	jamaica	rock	70s	
Nightwish	symphonic metal	Power metal	Gothic Metal	metal	Female fronted metal	finnish	female vocalists	Gothic	symphonic power metal	rock	
fun.	indie pop	indie	alternative	pop	rock	american	indie rock	male vocalists	fun	alternative rock	
The Cranberries	rock	alternative	female vocalists	alternative rock	irish	90s	pop	indie	The Cranberries	pop rock	
Flume	electronic	chillout	instrumental hip-hop	australian	hip hop	wonky	Hip-Hop	glitch-hop	downtempo	chillwave	
Alicia Keys	soul	rnb	female vocalists	pop	singer-songwriter	Alicia Keys	r&b	piano	american	Hip-Hop	
Kid Cudi	Hip-Hop	rap	alternative rap	hip hop	House	electronic	kid cudi	alternative hip-hop	american	alternative	
Boards of Canada	ambient	electronic	idm	chillout	electronica	downtempo	trip-hop	experimental	Warp	Scottish	
The Chemical Brothers	electronic	dance	big beat	electronica	techno	trip-hop	british	alternative	electro	breakbeat	
Nick Cave & The Bad Seeds	post-punk	rock	alternative	singer-songwriter	alternative rock	australian	indie	Nick Cave	dark	blues	
Edward Sharpe & The Magnetic Zeros	folk	indie	indie folk	indie pop	Alt-country	american	alternative	indie rock	hippie	folk rock	
Deep Purple	hard rock	classic rock	rock	Progressive rock	heavy metal	70s	british	deep purple	metal	blues rock	
Sum 41	punk rock	punk	pop punk	rock	alternative	alternative rock	Canadian	sum 41	emo	Pop-punk	
Nina Simone	jazz	soul	blues	female vocalists	vocal jazz	jazz vocal	nina simone	oldies	singer-songwriter	piano	
Enrique Iglesias	pop	latin	spanish	dance	latin pop	male vocalists	Enrique Iglesias	singer-songwriter	sexy	romantic	
Zedd	electro house	electronic	House	electro	dubstep	german	Progressive House	dance	complextro	Dub house	
Jack White	rock	blues	singer-songwriter	indie	folk	blues rock	Garage Rock	alternative rock	alternative	jack white	
Alesso	House	Progressive House	electronic	swedish	dance	electro house	electronica	Alesso	djs	electro	
Jon Hopkins	ambient	electronic	downtempo	chillout	electronica	idm	instrumental	glitch	experimental	microhouse	
